Date,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1975-01-31,35.397735607,34.428823469,28.979368141,36.775520348,15.658282333,19.759573099,24.531841381,27.185281477,30.9704491,30.91170056,26.673368035,31.827384789,25.494916661,32.263047433,32.888396977,33.463590633,31.462277884,33.101479779,28.822243828,26.94053259,15.857880406,24.451934535,25.926455124,42.354272326,30.565357277,27.046712742,31.340886532,27.541812819,22.12279386,23.025574229,27.860202197,23.842585056,28.253816777,39.544877603,30.232670564,37.780766079,19.647975852,28.738975552,20.091236644,30.599959101,37.884496596,32.244423094,32.700239549,24.640281678,26.520529127,27.989344136,17.477368017,41.772212411,28.195286729,31.768706857
1975-02-28,35.612098904,34.939511286,29.448825348,37.118593621,15.709495101,19.948758796,25.056225273,27.215535597,32.207958122,30.618311102,26.59711665,31.839972026,25.736502698,32.835232756,33.432755521,33.846535147,31.494712118,33.702847255,28.562763489,26.852661549,15.764496264,24.798883039,26.036715785,42.03817864,31.917382557,27.357359935,31.311937594,28.022310671,22.469143711,22.464607928,28.274121904,23.34558862,28.55126598,39.46476247,30.326759033,37.762940233,20.148034529,29.065291342,20.506153327,31.010391392,37.468179712,32.286978303,33.026062521,24.983207224,26.772546059,28.275696643,17.546603798,42.604673719,28.576356034,32.173570197
1975-03-31,35.866035453,35.462251336,29.892635134,37.418280097,15.894529349,20.141838683,25.448378741,27.273622811,34.02332986,30.491503198,26.56919783,31.843720695,26.021580538,33.379283587,33.931351594,34.265293953,31.519757145,34.301324442,28.340726867,26.815525969,15.673366344,25.088840835,26.131946252,41.801677907,33.286429747,27.687762445,31.279788899,28.489280966,22.785055216,22.13391069,28.662372515,23.128053214,28.810479852,39.440804708,30.519776302,37.782054179,20.62450115,29.320222354,20.92813194,31.327331435,37.04455931,32.375325813,33.616159505,25.293115357,27.015834957,28.483046397,17.654693297,43.474764609,28.955643834,32.608906125
1975-04-30,36.180484055,36.007684357,30.237211557,37.654121799,16.204209117,20.333021998,25.661897394,27.401274485,36.241206447,30.554352418,26.614040564,31.843821488,26.319908472,33.775724279,34.336512968,34.684652037,31.589131346,34.747408082,28.18515277,26.872969283,15.606272248,25.285417021,26.240458756,41.696017548,34.397646066,28.02747197,31.246985954,28.926982417,23.04330525,22.110552723,28.971022585,23.140970197,29.033522486,39.54555081,30.768677777,37.798237321,21.057940997,29.524005553,21.355060916,31.518314134,36.624121734,32.505109905,34.471233359,25.540216685,27.237066616,28.629837243,17.782324359,44.385992554,29.298096141,33.074478875
1975-05-31,36.477366709,36.603318804,30.416856998,37.863877565,16.466740644,20.502582859,25.716631956,27.624390493,36.522058004,30.676059588,26.725471717,31.862042732,26.498727953,33.951544299,34.602111937,35.06854115,31.794806071,34.959552143,28.115149348,27.011358501,15.583523332,25.361520401,26.404569098,41.727147903,34.326321593,28.341928917,31.209135,29.31910317,23.220020983,22.305070559,29.198043498,23.280546643,29.207019764,39.793534969,31.026564042,37.793722906,21.470165034,29.787025571,21.76922354,31.653283106,36.243932011,32.650872883,34.728195677,25.702734384,27.431862636,28.739892874,17.891772152,45.327024855,29.577892179,33.550343681
1975-06-30,36.635125396,37.240982665,30.36785139,38.076343188,16.588160216,20.654394009,25.670711542,27.892776953,34.909464984,30.714109591,26.869585189,31.893337023,26.59792448,33.927996566,34.758722038,35.353380545,32.170498134,35.044242684,28.145265308,27.185020513,15.614284692,25.317912551,26.621080791,41.85731436,33.22815292,28.608777593,31.161540445,29.652360458,23.301361185,22.588614305,29.394857588,23.530672543,29.318014353,40.168228127,31.281747634,37.792481252,21.865959924,30.093357903,22.124450887,31.826864145,35.961221698,32.803007049,34.298673879,25.750492164,27.60890103,28.839342418,18.001454962,46.247291559,29.787444309,34.026707033
1975-07-31,36.591715308,37.87877599,30.07312818,38.260028862,16.712827476,20.766483642,25.616094878,28.134629298,33.665746294,30.605825169,27.008728716,31.933823381,26.735611072,33.755243039,34.876226035,35.529239992,32.614059577,35.174157537,28.277038341,27.386781075,15.691037511,25.271067938,26.897485416,41.938213822,32.233531829,28.828522208,31.10775444,29.937837501,23.291649789,22.886597016,29.578773156,23.791227133,29.40996691,40.667560761,31.480644027,37.828651591,22.205267758,30.294586683,22.387907328,32.064035149,35.78526471,32.95569277,34.003074831,25.686879452,27.760909125,29.00047879,18.130665774,47.068757755,29.941707981,34.492446314
1975-08-31,36.386757716,38.460029159,29.617711295,38.371829327,16.932411374,20.776121638,25.605641074,28.341720044,33.06617016,30.355254144,27.112308968,31.991925065,26.87018631,33.475005646,34.958944199,35.678474849,32.982549105,35.390832573,28.490599635,27.599885082,15.774006273,25.353499916,27.200503937,41.879216147,31.673435843,29.002488274,31.089919187,30.215285936,23.231586357,23.084364792,29.708101134,23.906030806,29.560644097,41.287162434,31.56121394,37.934546228,22.459831972,30.210086156,22.572741482,32.31720013,35.665275906,33.122091474,33.96587952,25.585053153,27.868677465,29.18755183,18.222937338,47.729994987,30.065603222,34.920222727
1975-09-30,36.14164355,38.966568462,29.146923608,38.383188846,17.176471482,20.708701832,25.657148428,28.5135892,32.922647972,30.00662461,27.183326578,32.088093748,26.988842796,33.197855546,34.99055931,35.77814082,33.228480118,35.610543241,28.734434496,27.759691987,15.84156694,25.411804215,27.434184902,41.769706089,31.39595853,29.139892408,31.16489278,30.508691039,23.192245549,23.120669067,29.751337176,23.911554604,29.741089854,41.999264628,31.602393115,38.135346654,22.63408056,29.759117255,22.694999831,32.505275814,35.570898971,33.354439738,34.047659058,25.539576401,27.938033033,29.261470522,18.246880088,48.16928626,30.22772247,35.288867039
1975-10-31,36.012962895,39.426787936,28.890186976,38.358194581,17.402427525,20.678428512,25.772696687,28.624291469,33.056997314,29.722393683,27.233838997,32.302554441,27.140353855,33.141601935,35.046767044,35.818198096,33.364968355,35.798898092,28.920261066,27.900675192,15.877737728,25.296598501,27.518688975,41.733650862,31.205999157,29.263924113,31.357785428,30.810513843,23.216805376,23.040705256,29.740674328,23.925316554,29.89659743,42.721993293,31.721185379,38.476434292,22.741810016,29.201650923,22.749914456,32.558222096,35.51017501,33.708668655,34.172587965,25.666824071,27.985435337,29.226380599,18.278137932,48.349073115,30.430084357,35.570191138
